Index,Input Text,Actual Label,Predicted Label,Confidence,Correct
1,[NEWS_IN] HUL shares block deal helps FPI investments into Indian equities turn positive in May,Positive,Negative,49.4%,✗
2,"[NEWS_IN] Rupee skids 13 paise to 73 . 51 per dollar amid weak equities , fund outflows",Negative,Negative,49.4%,✓
3,[NEWS_IN] India poised to be counted among top 3 nations : Rajnath Singh,Positive,Negative,49.4%,✗
4,[SOCIAL] Kohl's stock price target cut to $48 from $52 at Deutsche Bank,Negative,Negative,49.4%,✓
5,[NEWS_IN] Economics of climate change win Nobel Prize for US duo,Positive,Negative,49.4%,✗
6,[NEWS_IN] SEBI allows acceptance of client securities as collateral by way of title transfer till Au...,Negative,Negative,49.4%,✓
7,[NEWS_IN] Coronavirus fallout : Why small finance banks are in for big trouble,Negative,Negative,49.4%,✓
8,"[NEWS_IN] Sensex , Nifty start budget week on positive note , end at 3 - week closing highs ; key re...",Positive,Negative,49.4%,✗
9,"[NEWS_IN] News highlights of the day : Firms will now be able to pay PF dues , update ownership deta...",Positive,Negative,49.4%,✗
10,"[NEWS_IN] Modi to focus on infra spending , bet on real estate , cement and capital goods",Negative,Negative,49.4%,✓
11,[SOCIAL] Buffett-backed StoneCo jumps to 7-month high on solid growth https://t.co/JJ2dbxJbDp via @b...,Positive,Negative,49.4%,✗
12,[NEWS_IN] Fraudulent trading : Sebi slaps Rs 50 lakh fine on four individuals,Negative,Negative,49.4%,✓
13,[NEWS_IN] Mounting import of Vietnamese pepper via Sri Lanka worries India,Negative,Negative,49.4%,✓
14,"[NEWS_IN] ANAROCK to partner with local , global housing brokerage firms",Positive,Negative,49.4%,✗
15,[NEWS_IN] Here how Wall Street plans to deal with coronavirus,Negative,Negative,49.4%,✓
16,[NEWS_IN] The business of corporate social responsibility,Positive,Negative,49.4%,✗
17,"[NEWS_IN] After Saubhagya , will theft of electricity decline ; what Centre expects India to do",Negative,Negative,49.4%,✓
18,[NEWS_IN] SEBI orders special audit of 4 ICEX broking firms for alleged irregularities,Negative,Negative,49.4%,✓
19,[NEWS_IN] Asian shares near two - month highs ahead of US payrolls,Negative,Negative,49.4%,✓
20,"[NEWS_IN] Inside Santiniketan , a lonely , troubled VC",Positive,Negative,49.4%,✗
21,[SOCIAL] The Retiree's Dividend Portfolio - Jane's October Update: Taking Advantage Of Zero Cost Tra...,Neutral,Negative,49.4%,✗
22,[NEWS_IN] Men in top management posts have twice the rate of attrition than women : Study,Negative,Negative,49.4%,✓
23,[NEWS_IN] Budget 2019 : Develop domestic capabilities to boost aviation,Positive,Negative,49.4%,✗
24,"[NEWS_IN] Rate hike seen weighing on firm borrowing , capex",Negative,Negative,49.4%,✓
25,[NEWS_IN] Gold prices are expected to trade lower today : Angel Commodities,Positive,Negative,49.4%,✗
26,[NEWS_IN] Xiaomi : IPO hopeful Xiaomi set to blow past 2017 revenue target,Positive,Negative,49.4%,✗
27,"[NEWS_IN] India a long - term investment for us , says IKEA global CEO Jesper Brodin",Positive,Negative,49.4%,✗
28,"[NEWS_IN] Govt set to release IIP , WPI new base year series",Positive,Negative,49.4%,✗
29,"[NEWS_IN] Pandemic triggers a wave of distress , bankruptcy in Corporate America",Negative,Negative,49.4%,✓
30,[NEWS_IN] Sensex ends nearly 150 points down as Wall Street drags global markets,Negative,Negative,49.4%,✓
31,[NEWS_IN] Donald Trump blocks Broadcom $117 billion bid for Qualcomm on  national security  concerns,Negative,Negative,49.4%,✓
32,[NEWS_IN] Technical View : Nifty forms  Doji  candle for second day ; keep a stop below 10K,Positive,Negative,49.4%,✗
33,[SOCIAL] Commercial paper outstanding â a measure of short-term promissory notes issued primarily ...,Neutral,Negative,49.4%,✗
34,"[NEWS_IN] Karnataka polls verdict 2018 : With JD ( S ), Congress open for alliance , here an electio...",Positive,Negative,49.4%,✗
35,[NEWS_IN] Will set up JPC to probe demonetisation  scam : Manish Tewari,Negative,Negative,49.4%,✓
36,[NEWS_IN] Gold : Today Gold Price : Track today gold rate latest trends and news,Positive,Negative,49.4%,✗
37,[NEWS_IN] Ministers to brainstorm policy for an all,Positive,Negative,49.4%,✗
38,[NEWS_IN] Mutual Fund investment : Which mutual fund schemes should a student invest ?,Negative,Negative,49.4%,✓
39,"[NEWS_IN] Trump vows to stop China taking South China Sea islands ; Chinese media warns , act tantam...",Negative,Negative,49.4%,✓
40,[NEWS_IN] NAFTA must protect workers left behind by global economy : Justin Trudeau,Positive,Negative,49.4%,✗
41,[NEWS_IN] Indians among London fastest growing international students,Positive,Negative,49.4%,✗
42,[NEWS_IN] China $11 trillion economy and markets are in a tug of war,Negative,Negative,49.4%,✓
43,[NEWS_IN] Sanjeev Gupta Liberty House to acquire ArcelorMittal US unit,Negative,Negative,49.4%,✓
44,"[NEWS_IN] Gold forms bullish hammer ; may break out if resistance @ 38 , 100 is tested",Negative,Negative,49.4%,✓
45,[NEWS_IN] 5 stocks that are buzzing in market today amid a poor show by Sensex,Negative,Negative,49.4%,✓
46,"[NEWS_IN] OnePlus beats Samsung , Apple again in India premium smartphone market : Counterpoint",Positive,Negative,49.4%,✗
47,[NEWS_IN] Gainers & Losers : 10 Stocks That Moved The Most On December 22,Negative,Negative,49.4%,✓
48,"[SOCIAL] U.K. stocks rally, British pound recovers as optimism over possible virus containment offse...",Positive,Negative,49.4%,✗
49,[NEWS_IN] EXPLAINED : Onion prices may not fall anytime soon ; here why prices are on rise,Positive,Negative,49.4%,✗
50,[NEWS_IN] Catching Up With Peers - Business News,Positive,Negative,49.4%,✗
51,[NEWS_IN] Navy upgrading airfields with 24x7 surveillance and real - time alerting,Positive,Negative,49.4%,✗
52,"[NEWS_IN] RBI rate decision , macro data , global cues to set stock market trend",Positive,Negative,49.4%,✗
53,[NEWS_IN] GST : Rates on services will determine impact on inflation,Positive,Negative,49.4%,✗
54,"[NEWS_IN] Mastercard commits Rs 7 , 000 crore investment in India in next 5 years",Positive,Negative,49.4%,✗
55,"[NEWS_IN] EXCLUSIVE : SEBI , RBI may extend forex trading time to 8 pm from 5 pm now",Negative,Negative,49.4%,✓
56,"[NEWS_IN] Your food platter gets expensive amid lockdown , steep price rise in two common items",Negative,Negative,49.4%,✓
57,[NEWS_IN] India Inc topline growth to hit 5 - year high of 9 % in Q3,Positive,Negative,49.4%,✗
58,"[NEWS_IN] Vedanta Resources delisting not related to Tuticorin incident , says Anil Agarwal",Negative,Negative,49.4%,✓
59,"[NEWS_IN] Exit polls , election result & other factors that may guide D - Street this week",Positive,Negative,49.4%,✗
